,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
2127,Walk-Up Apartments,46200.0,1.0,6.0,42.0,42.0, , ,#4,2.59,21608.0,1993
2128,Elevator Apartments,49000.0,1.0,6.0,42.0,42.0, , ,#4,3.7,21500.0,1989
2129,Elevator Apartments,24600.0,2.0,6.0,25.0,25.0, , ,#4,2.03,21353.0,1992
2130,Elevator Apartments,22475.0,1.0,5.0,26.0,29.0, , ,#4,2.59,21352.0,1989
2131,Walk-Up Apartments,28448.0,1.0,5.0,37.0,38.0, , ,#4,2.03,21170.0,1997
2132,Elevator Apartments,20760.0,1.0,5.0,28.0,31.0, , ,#4,2.0,21170.0,1984
2133,Elevator Apartments,39200.0,1.0,6.0,32.0,32.0, , ,#4,2.0,21170.0,1979
2134,Walk-Up Apartments,24255.0,1.0,5.0,30.0,30.0, , ,#4,3.0,21170.0,1985
2135,Utility Bureau,25500.0,1.0,6.0,35.0,37.0, , ,#4,2.0,21170.0,1983
2136,Loft Buildings,68000.0,1.0,6.0,67.0,67.0, , ,#6,12.18,21080.0,1985
2137,Elevator Apartments,30430.0,1.0,5.0,35.0,35.0, , ,#4,2.77,21000.0,1995
2138,Elevator Apartments,39654.0,1.0,6.0,43.0,43.0, , ,#4,3.1,21000.0,1989
2139,Walk-Up Apartments,65418.0,1.0,6.0,65.0,65.0, , ,#6,4.7,21000.0,1971
2140,Elevator Apartments,26280.0,1.0,4.0,27.0,27.0, , ,#4,2.6,21000.0,1974
2141,Elevator Apartments,14900.0,1.0,5.0,21.0,21.0, , ,#4,2.8,21000.0,1989
2142,Elevator Apartments,26809.0,1.0,5.0,27.0,31.0, , ,#4,2.59,20933.0,1992
2143,Elevator Apartments,93000.0,2.0,6.0,65.0,65.0, , ,#6,6.3,20800.0,1985
2144,Elevator Apartments,85094.0,1.0,6.0,84.0,85.0, , ,#4,5.81,20704.0,1994
2145,Elevator Apartments,38220.0,1.0,6.0,42.0,42.0, , ,#4,3.1,20500.0,1989
2146,Condominiums,28750.0,1.0,5.0,30.0,30.0, , ,#4,2.01,20258.0,2003
2147,Elevator Apartments,28219.0,1.0,5.0,29.0,36.0, , ,#4,2.0,20258.0,2006
2148,Walk-Up Apartments,25000.0,1.0,5.0,30.0,30.0, , ,#4,2.0,20258.0,2007
2149,Walk-Up Apartments,22740.0,1.0,6.0,28.0,28.0, , ,#4,2.59,20258.0,2001
2150,Elevator Apartments,30216.0,1.0,6.0,40.0,40.0, , ,#4,2.07,20258.0,2002
2151,Walk-Up Apartments,28695.0,1.0,5.0,30.0,30.0, , ,#4,2.0,20258.0,2006
2152,Elevator Apartments,11360.0,1.0,4.0,16.0,16.0, , ,#4,2.0,20258.0,2008
2153,Walk-Up Apartments,29424.0,1.0,6.0,38.0,38.0, , ,#4,2.59,20258.0,1998
2154,Condominiums,31350.0,1.0,5.0,38.0,38.0, , ,#4,2.59,20258.0,1997
2155,Condominiums,32000.0,1.0,5.0,26.0,26.0, , ,#4,2.52,20258.0,2001
2156,Loft Buildings,42300.0,1.0,6.0,30.0,30.0, , ,#4,2.59,20258.0,1996
2157,Elevator Apartments,30935.0,1.0,5.0,36.0,36.0, , ,#4,2.0,20258.0,2008
2158,Elevator Apartments,34990.0,1.0,6.0,31.0,31.0, , ,#4,2.59,20258.0,1996
2159,Walk-Up Apartments,58715.0,1.0,6.0,45.0,45.0, , ,#4,2.8,20250.0,1993
2160,Cultural & Public Assembly,33255.0,1.0,5.0,28.0,32.0, , ,#4,2.59,20250.0,2000
2161,Walk-Up Apartments,35770.0,1.0,5.0,32.0,32.0, , ,#4,2.59,20250.0,2002
2162,Elevator Apartments,32300.0,1.0,5.0,33.0,33.0, , ,#4,2.59,20166.0,1994
2163,Walk-Up Apartments,33425.0,1.0,5.0,34.0,34.0, , ,#4,2.1,20000.0,1986
2164,Walk-Up Apartments,17625.0,1.0,5.0,26.0,26.0, , ,#4,1.72,20000.0,1990
2165,Elevator Apartments,19404.0,1.0,3.0,29.0,29.0, , ,#4,1.57,20000.0,1992
2166,Elevator Apartments,23760.0,1.0,6.0,18.0,20.0, , ,#4,1.41,20000.0,1985
2167,Walk-Up Apartments,30000.0,1.0,6.0,32.0,32.0, , ,#4,2.59,20000.0,1987
2168,Walk-Up Apartments,39310.0,1.0,6.0,37.0,41.0, , ,#4,3.43,20000.0,1986
2169,Elevator Apartments,27000.0,1.0,5.0,31.0,31.0, , ,#4,2.0,20000.0,1984
2170,Elevator Apartments,25500.0,1.0,5.0,31.0,31.0, , ,#4,1.0,20000.0,1982
